step,loss,smooth_loss,lr,tokens_seen,tokens_per_sec,grad_norm,elapsed_sec,vram_used_gb,vram_peak_gb,timestamp
820,2.867045,3.269427,1.996266275723906e-05,16793600,1687.3,2.4577,1014.8,2.6,12.19,2026-04-19T04:04:36.092480
830,2.936747,3.265419,1.9961449484435367e-05,16998400,1689.2,2.4322,1026.9,2.6,12.19,2026-04-19T04:04:48.215642
840,2.893024,3.260985,1.9960216855211243e-05,17203200,1691.9,2.3487,1039.0,2.6,12.19,2026-04-19T04:05:00.320639
850,3.083242,3.258894,1.995896487222912e-05,17408000,1692.7,3.2377,1051.1,2.6,12.19,2026-04-19T04:05:12.419352
860,2.606024,3.251303,1.9957693538193247e-05,17612800,1689.8,2.5171,1063.2,2.6,12.19,2026-04-19T04:05:24.539249
870,2.691233,3.244865,1.9956402855849652e-05,17817600,1688.7,2.3593,1075.3,2.6,12.19,2026-04-19T04:05:36.667202
880,2.723911,3.238945,1.9955092827986168e-05,18022400,1691.0,2.2709,1087.4,2.6,12.19,2026-04-19T04:05:48.778548
890,2.914607,3.235301,1.9953763457432412e-05,18227200,1692.1,2.1322,1099.5,2.6,12.19,2026-04-19T04:06:00.882582
900,3.126347,3.23409,1.9952414747059773e-05,18432000,1687.5,2.6489,1111.7,2.6,12.19,2026-04-19T04:06:13.018459
910,2.903118,3.230453,1.9951046699781428e-05,18636800,1693.1,2.2162,1123.8,2.6,12.19,2026-04-19T04:06:25.114709
920,3.014266,3.228104,1.99496593185523e-05,18841600,1689.1,2.3706,1135.9,2.6,12.19,2026-04-19T04:06:37.239781
930,2.90713,3.224652,1.9948252606369093e-05,19046400,1692.3,2.6384,1148.0,2.6,12.19,2026-04-19T04:06:49.341442
940,2.901854,3.221218,1.994682656627025e-05,19251200,1687.6,2.4201,1160.1,2.6,12.19,2026-04-19T04:07:01.477019
950,2.712905,3.215868,1.994538120133598e-05,19456000,1690.5,2.1793,1172.3,2.6,12.19,2026-04-19T04:07:13.592197
960,2.794753,3.211481,1.9943916514688204e-05,19660800,1683.7,2.1419,1184.4,2.6,12.19,2026-04-19T04:07:25.755801
970,3.030315,3.209613,1.9942432509490607e-05,19865600,1685.7,2.9718,1196.6,2.6,12.19,2026-04-19T04:07:37.905291
980,2.757381,3.204999,1.9940929188948585e-05,20070400,1685.5,2.4659,1208.7,2.6,12.19,2026-04-19T04:07:50.055867
990,3.035361,3.203285,1.9939406556309258e-05,20275200,1689.9,2.3932,1220.8,2.6,12.19,2026-04-19T04:08:02.174859
1000,2.925403,3.200506,1.9937864614861463e-05,20480000,1691.2,2.9795,1232.9,2.6,12.19,2026-04-19T04:08:14.284476
1010,2.587187,3.169027,1.9936303367935736e-05,20684800,508.8,2.9132,1273.2,2.6,12.19,2026-04-19T04:08:54.533928
1020,2.610273,3.138033,1.993472281890432e-05,20889600,1693.1,2.2996,1285.3,2.6,12.19,2026-04-19T04:09:06.629906
1030,2.895969,3.114034,1.993312297118114e-05,21094400,1693.1,2.7114,1297.4,2.6,12.19,2026-04-19T04:09:18.725579
1040,2.9297,3.090127,1.9931503828221815e-05,21299200,1692.3,3.263,1309.5,2.6,12.19,2026-04-19T04:09:30.827467
1050,2.672508,3.06514,1.992986539352364e-05,21504000,1690.2,2.3306,1321.6,2.6,12.19,2026-04-19T04:09:42.944386
1060,2.785522,3.047238,1.992820767062558e-05,21708800,1690.7,2.1369,1333.7,2.6,12.19,2026-04-19T04:09:55.057551
1070,2.831058,3.031093,1.9926530663108245e-05,21913600,1691.6,2.3405,1345.8,2.6,12.19,2026-04-19T04:10:07.164606
1080,2.793782,3.016578,1.9924834374593927e-05,22118400,1691.2,2.1101,1357.9,2.6,12.19,2026-04-19T04:10:19.274089
1090,2.803975,3.004825,1.9923118808746548e-05,22323200,1694.1,3.1087,1370.0,2.6,12.19,2026-04-19T04:10:31.363176
1100,2.981988,2.997562,1.992138396927167e-05,22528000,1693.4,2.199,1382.1,2.6,12.19,2026-04-19T04:10:43.457064
1110,2.7852,2.989688,1.991962985991648e-05,22732800,1693.7,2.2869,1394.2,2.6,12.19,2026-04-19T04:10:55.549014
1120,2.948694,2.982262,1.99178564844698e-05,22937600,1696.5,2.7307,1406.3,2.6,12.19,2026-04-19T04:11:07.621325
1130,2.715701,2.972154,1.991606384676206e-05,23142400,1688.2,2.0038,1418.4,2.6,12.19,2026-04-19T04:11:19.753227
1140,2.839469,2.965216,1.9914251950665293e-05,23347200,1694.9,2.0984,1430.5,2.6,12.19,2026-04-19T04:11:31.836285
1150,2.920285,2.958325,1.991242080009313e-05,23552000,1689.2,2.4301,1442.6,2.6,12.19,2026-04-19T04:11:43.960062
1160,2.519635,2.950605,1.9910570399000796e-05,23756800,1694.3,1.9782,1454.7,2.6,12.19,2026-04-19T04:11:56.047898
1170,2.662498,2.945236,1.990870075138509e-05,23961600,1695.4,1.9536,1466.8,2.6,12.19,2026-04-19T04:12:08.128271
1180,2.772246,2.937742,1.9906811861284392e-05,24166400,1694.3,2.1073,1478.9,2.6,12.19,2026-04-19T04:12:20.216143
1190,2.481433,2.926552,1.9904903732778633e-05,24371200,1692.3,2.2782,1491.0,2.6,12.19,2026-04-19T04:12:32.318264
1200,3.044266,2.926472,1.9902976369989307e-05,24576000,1694.3,2.4388,1503.1,2.6,12.19,2026-04-19T04:12:44.405743
1210,2.611954,2.92229,1.990102977707945e-05,24780800,1693.3,2.6071,1515.2,2.6,12.19,2026-04-19T04:12:56.500590
1220,2.915388,2.918534,1.9899063958253638e-05,24985600,1693.8,2.7665,1527.3,2.6,12.19,2026-04-19T04:13:08.591630
1230,2.451308,2.912951,1.9897078917757972e-05,25190400,1694.3,2.2829,1539.3,2.6,12.19,2026-04-19T04:13:20.679224
1240,2.563682,2.905191,1.9895074659880063e-05,25395200,1691.9,2.6898,1551.4,2.6,12.19,2026-04-19T04:13:32.784740
1250,2.574169,2.898805,1.9893051188949043e-05,25600000,1691.1,2.414,1563.6,2.6,12.19,2026-04-19T04:13:44.894910
1260,2.694188,2.89304,1.9891008509335543e-05,25804800,1693.4,2.5071,1575.6,2.6,12.19,2026-04-19T04:13:56.988850
1270,2.726186,2.88749,1.9888946625451677e-05,26009600,1691.1,2.0651,1587.8,2.6,12.19,2026-04-19T04:14:09.099464
1280,2.957274,2.885201,1.9886865541751043e-05,26214400,1691.4,2.0682,1599.9,2.6,12.19,2026-04-19T04:14:21.208508
1290,2.752559,2.878581,1.988476526272871e-05,26419200,1691.2,2.1474,1612.0,2.6,12.19,2026-04-19T04:14:33.317964
1300,3.01737,2.877442,1.9882645792921208e-05,26624000,1692.6,3.2076,1624.1,2.6,12.19,2026-04-19T04:14:45.417601
1310,2.685886,2.873732,1.9880507136906514e-05,26828800,1692.1,2.2104,1636.2,2.6,12.19,2026-04-19T04:14:57.521303
1320,2.828555,2.872489,1.987834929930406e-05,27033600,1687.7,2.1671,1648.3,2.6,12.19,2026-04-19T04:15:09.655415
1330,2.879901,2.866657,1.987617228477469e-05,27238400,1693.1,2.2677,1660.4,2.6,12.19,2026-04-19T04:15:21.751678
1340,2.7524,2.863307,1.9873976098020686e-05,27443200,1688.3,2.3385,1672.5,2.6,12.19,2026-04-19T04:15:33.882319
1350,2.655318,2.858771,1.987176074378574e-05,27648000,1695.0,2.3221,1684.6,2.6,12.19,2026-04-19T04:15:45.964835
1360,2.707109,2.857027,1.986952622685493e-05,27852800,1694.3,2.2794,1696.7,2.6,12.19,2026-04-19T04:15:58.052183
