step,loss,smooth_loss,lr,tokens_seen,tokens_per_sec,grad_norm,elapsed_sec,vram_used_gb,vram_peak_gb,timestamp
860,5.415682,6.439341,0.0005166,44083200,1716.5,0.4953,2624.6,3.93,12.8,2026-04-18T06:12:54.525222
870,5.511671,6.4288,0.0005225999999999999,44595200,1717.6,0.5472,2654.4,3.93,12.8,2026-04-18T06:13:24.333519
880,5.275491,6.415841,0.0005286,45107200,1717.5,0.5227,2684.2,3.93,12.8,2026-04-18T06:13:54.143863
890,5.655968,6.407398,0.0005346,45619200,1719.2,0.6505,2714.0,3.93,12.8,2026-04-18T06:14:23.924448
900,5.483581,6.397246,0.0005406,46131200,1716.8,0.5292,2743.8,3.93,12.8,2026-04-18T06:14:53.746830
910,5.21048,6.384347,0.0005466,46643200,1717.3,0.5336,2773.6,3.93,12.8,2026-04-18T06:15:23.560987
920,5.214262,6.371765,0.0005526,47155200,1718.6,0.5322,2803.4,3.93,12.8,2026-04-18T06:15:53.353471
930,5.528939,6.362799,0.0005586,47667200,1718.1,0.5596,2833.2,3.93,12.8,2026-04-18T06:16:23.153986
940,5.184591,6.350397,0.0005646,48179200,1718.9,0.579,2863.0,3.93,12.8,2026-04-18T06:16:52.940662
950,5.404316,6.340542,0.0005706,48691200,1717.9,0.5645,2892.8,3.93,12.8,2026-04-18T06:17:22.744528
960,5.339582,6.330222,0.0005766,49203200,1718.6,0.5281,2922.6,3.93,12.8,2026-04-18T06:17:52.535754
970,5.452634,6.321267,0.0005825999999999998,49715200,1717.8,1.094,2952.4,3.93,12.8,2026-04-18T06:18:22.340943
980,5.08984,6.308829,0.0005885999999999999,50227200,1719.4,0.5133,2982.2,3.93,12.8,2026-04-18T06:18:52.118727
990,5.307305,6.298814,0.0005945999999999999,50739200,1717.5,0.7471,3012.0,3.93,12.8,2026-04-18T06:19:21.929575
1000,5.188585,6.241267,0.0006,51251200,1717.4,0.4705,3041.8,3.93,12.8,2026-04-18T06:19:51.742702
1010,5.390182,6.195455,0.0005999998172295687,51763200,912.8,0.5953,3097.9,3.93,12.8,2026-04-18T06:20:47.836722
1020,5.249759,6.15279,0.0005999992689185224,52275200,1712.6,0.5078,3127.8,3.93,12.8,2026-04-18T06:21:17.732218
1030,5.176373,6.109509,0.0005999983550676034,52787200,1717.5,0.483,3157.6,3.93,12.8,2026-04-18T06:21:47.543010
1040,5.159642,6.070935,0.0005999970756780488,53299200,1718.7,0.5395,3187.4,3.93,12.8,2026-04-18T06:22:17.332760
1050,5.318362,6.034949,0.0005999954307515908,53811200,1717.5,0.6203,3217.2,3.93,12.8,2026-04-18T06:22:47.142449
1060,5.185567,6.00296,0.0005999934202904565,54323200,1717.4,0.5304,3247.0,3.93,12.8,2026-04-18T06:23:16.954787
1070,5.279019,5.972165,0.0005999910442973677,54835200,1718.4,0.5866,3276.8,3.93,12.8,2026-04-18T06:23:46.750240
1080,5.455804,5.947194,0.0005999883027755409,55347200,1718.2,1.4682,3306.6,3.93,12.8,2026-04-18T06:24:16.548219
1090,5.258914,5.924149,0.0005999851957286882,55859200,1719.3,0.5467,3336.4,3.93,12.8,2026-04-18T06:24:46.327485
1100,5.09662,5.902639,0.0005999817231610157,56371200,1717.6,0.4918,3366.2,3.93,12.8,2026-04-18T06:25:16.136602
1110,5.129913,5.883225,0.000599977885077225,56883200,1717.6,0.4498,3396.0,3.93,12.8,2026-04-18T06:25:45.945229
1120,5.064969,5.862634,0.0005999736814825121,57395200,1717.5,0.4426,3425.8,3.93,12.8,2026-04-18T06:26:15.755693
1130,5.275814,5.844239,0.0005999691123825682,57907200,1717.5,0.518,3455.6,3.93,12.8,2026-04-18T06:26:45.565789
1140,6.321278,5.839531,0.000599964177783579,58419200,1718.4,2.7208,3485.4,3.93,12.8,2026-04-18T06:27:15.361352
1150,5.162799,5.823233,0.0005999588776922256,58931200,1717.5,0.4091,3515.2,3.93,12.8,2026-04-18T06:27:45.172363
1160,5.1279,5.807926,0.0005999532121156833,59443200,1718.3,0.4267,3545.0,3.93,12.8,2026-04-18T06:28:14.969074
1170,5.556816,5.795745,0.0005999471810616224,59955200,1717.0,0.7212,3574.8,3.93,12.8,2026-04-18T06:28:44.788571
1180,5.010066,5.779509,0.0005999407845382082,60467200,1717.4,0.5938,3604.6,3.93,12.8,2026-04-18T06:29:14.600931
1190,5.108854,5.763655,0.0005999340225541007,60979200,1717.8,0.4471,3634.4,3.93,12.8,2026-04-18T06:29:44.406353
1200,5.08097,5.748936,0.0005999268951184546,61491200,1718.8,0.4638,3664.2,3.93,12.8,2026-04-18T06:30:14.194685
1210,5.074308,5.733402,0.0005999194022409194,62003200,1717.6,0.9896,3694.0,3.93,12.8,2026-04-18T06:30:44.003161
